Sent At,Direction
"10/17/20, 9:54 PM",OUTGOING
"10/17/20, 1:21 AM",OUTGOING
"10/17/20, 1:21 AM",OUTGOING
"10/17/20, 1:21 AM",OUTGOING
"10/17/20, 1:21 AM",OUTGOING
"10/17/20, 1:20 AM",OUTGOING
"10/16/20, 7:12 AM",OUTGOING
"10/16/20, 7:04 AM",OUTGOING
"10/16/20, 7:04 AM",OUTGOING
"10/15/20, 8:47 AM",OUTGOING
"10/15/20, 8:45 AM",OUTGOING
"10/14/20, 7:54 AM",OUTGOING
"10/14/20, 7:50 AM",OUTGOING
"10/14/20, 7:50 AM",OUTGOING
"10/13/20, 10:33 AM",OUTGOING
"10/13/20, 12:13 AM",OUTGOING
"10/12/20, 11:55 PM",OUTGOING
"10/12/20, 11:52 PM",OUTGOING
"10/11/20, 10:19 AM",OUTGOING
"10/11/20, 2:28 AM",OUTGOING
"10/11/20, 2:28 AM",OUTGOING
"10/11/20, 2:28 AM",OUTGOING
"10/11/20, 2:28 AM",OUTGOING
"10/11/20, 2:28 AM",OUTGOING
"10/11/20, 2:28 AM",OUTGOING
"10/11/20, 2:28 AM",OUTGOING
"10/10/20, 11:00 PM",OUTGOING
"10/10/20, 3:36 PM",OUTGOING
"10/10/20, 3:35 PM",OUTGOING
"10/10/20, 1:56 PM",OUTGOING
"10/10/20, 1:48 PM",OUTGOING
"10/10/20, 2:14 AM",OUTGOING
"10/9/20, 12:14 AM",OUTGOING
"10/8/20, 9:17 AM",OUTGOING
"10/6/20, 11:29 PM",OUTGOING
"10/6/20, 10:39 AM",OUTGOING
"10/6/20, 8:38 AM",OUTGOING
"10/6/20, 8:05 AM",OUTGOING
"10/6/20, 8:04 AM",OUTGOING
"10/5/20, 9:45 PM",OUTGOING
"10/4/20, 10:32 PM",OUTGOING
"10/4/20, 10:32 PM",OUTGOING
"10/4/20, 10:32 PM",OUTGOING
"10/4/20, 10:32 PM",OUTGOING
"10/4/20, 10:32 PM",OUTGOING
"10/4/20, 10:32 PM",OUTGOING
"10/4/20, 10:32 PM",OUTGOING
"10/4/20, 10:32 PM",OUTGOING
"10/4/20, 10:32 PM",OUTGOING
"10/4/20, 7:43 AM",OUTGOING
"10/4/20, 6:54 AM",OUTGOING
"10/4/20, 6:54 AM",OUTGOING
"10/4/20, 6:54 AM",OUTGOING
"10/4/20, 6:53 AM",OUTGOING
"10/4/20, 6:53 AM",OUTGOING
"10/4/20, 6:53 AM",OUTGOING
"10/4/20, 6:53 AM",OUTGOING
"10/4/20, 6:52 AM",OUTGOING
"10/4/20, 6:53 AM",OUTGOING
"10/4/20, 6:50 AM",OUTGOING
"10/3/20, 8:08 AM",OUTGOING
"10/3/20, 3:10 AM",OUTGOING
"10/2/20, 10:45 PM",OUTGOING
"10/2/20, 10:45 PM",OUTGOING
"10/1/20, 7:03 AM",OUTGOING
"10/1/20, 6:04 AM",OUTGOING
"9/30/20, 1:25 PM",OUTGOING
"9/30/20, 1:20 PM",OUTGOING
"9/30/20, 11:38 AM",OUTGOING
"9/30/20, 9:47 AM",OUTGOING
"9/30/20, 9:45 AM",OUTGOING
"9/30/20, 9:45 AM",OUTGOING
"9/30/20, 9:45 AM",OUTGOING
"9/30/20, 9:45 AM",OUTGOING
"9/29/20, 11:04 AM",OUTGOING
"9/29/20, 11:04 AM",OUTGOING
"9/29/20, 7:45 AM",OUTGOING
"9/29/20, 7:44 AM",OUTGOING
"9/29/20, 6:31 AM",OUTGOING
"9/28/20, 11:46 PM",OUTGOING
"9/28/20, 11:29 PM",OUTGOING
"9/28/20, 10:10 PM",OUTGOING
"9/28/20, 10:10 PM",OUTGOING
"9/28/20, 10:10 PM",OUTGOING
"9/28/20, 10:09 PM",OUTGOING
"9/28/20, 10:10 PM",OUTGOING
"9/28/20, 10:02 PM",OUTGOING
"9/28/20, 9:59 PM",OUTGOING
"9/25/20, 11:30 PM",OUTGOING
"9/25/20, 11:19 PM",OUTGOING
